영화코드,영화명,누적관객수,배우파워,평점,코멘트수,일차,일차2,일차3,국적군,감독평균최대관객수,감독.group,배급사평균최대관객수,배급사.group,장르평균최대관객수,장르.group,요일구분,월.group,평점계,기사수,등급평균최대관객수,공휴일평균관객수,공휴일누적평균관객수,공휴일총합
6,47 미터,572901,1771367,5.94,205,11,121,1331,2,589808,1,366966.2,1,1109504,3,2,1,1217.7,347,1731104.126,103860.2757,751700.9334,835765.8909
6,47 미터,580661,1771367,5.94,205,12,144,1728,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,793733.4122,835765.8909
6,47 미터,588045,1771367,5.94,205,13,169,2197,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,835765.891,835765.8909
7,50가지 그림자: 심연,24897,1108156,6.09,108,0,0,0,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,42032.47881,835765.8909
7,50가지 그림자: 심연,50343,1108156,6.09,108,1,1,1,0,188756,1,1069502,2,1158457,3,1,2,657.72,302,808491.7238,42032.47881,84064.95763,835765.8909
7,50가지 그림자: 심연,82301,1108156,6.09,108,2,4,8,0,188756,1,1069502,2,1158457,3,2,2,657.72,302,808491.7238,103860.2757,187925.2333,835765.8909
7,50가지 그림자: 심연,109366,1108156,6.09,108,3,9,27,0,188756,1,1069502,2,1158457,3,2,2,657.72,302,808491.7238,103860.2757,291785.5091,835765.8909
7,50가지 그림자: 심연,126347,1108156,6.09,108,4,16,64,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,333817.9879,835765.8909
7,50가지 그림자: 심연,146058,1108156,6.09,108,5,25,125,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,375850.4667,835765.8909
7,50가지 그림자: 심연,152504,1108156,6.09,108,6,36,216,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,417882.9455,835765.8909
7,50가지 그림자: 심연,156963,1108156,6.09,108,7,49,343,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,459915.4243,835765.8909
7,50가지 그림자: 심연,161808,1108156,6.09,108,8,64,512,0,188756,1,1069502,2,1158457,3,1,2,657.72,302,808491.7238,42032.47881,501947.9031,835765.8909
7,50가지 그림자: 심연,168214,1108156,6.09,108,9,81,729,0,188756,1,1069502,2,1158457,3,2,2,657.72,302,808491.7238,103860.2757,605808.1788,835765.8909
7,50가지 그림자: 심연,173351,1108156,6.09,108,10,100,1000,0,188756,1,1069502,2,1158457,3,2,2,657.72,302,808491.7238,103860.2757,709668.4545,835765.8909
7,50가지 그림자: 심연,176975,1108156,6.09,108,11,121,1331,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,751700.9334,835765.8909
7,50가지 그림자: 심연,180531,1108156,6.09,108,12,144,1728,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,793733.4122,835765.8909
7,50가지 그림자: 심연,181941,1108156,6.09,108,13,169,2197,0,188756,1,1069502,2,1158457,3,0,2,657.72,302,808491.7238,42032.47881,835765.891,835765.8909
8,7번방의 선물,177508,64019854,8.73,4069,0,0,0,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,42032.47881,835765.8909
8,7번방의 선물,389656,64019854,8.73,4069,1,1,1,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,84064.95763,835765.8909
8,7번방의 선물,662792,64019854,8.73,4069,2,4,8,1,7526888,5,1665753.608,2,1145680.275,3,1,2,35522.37,29246,1731104.126,42032.47881,126097.4364,835765.8909
8,7번방의 선물,1193661,64019854,8.73,4069,3,9,27,1,7526888,5,1665753.608,2,1145680.275,3,2,2,35522.37,29246,1731104.126,103860.2757,229957.7122,835765.8909
8,7번방의 선물,1740047,64019854,8.73,4069,4,16,64,1,7526888,5,1665753.608,2,1145680.275,3,2,2,35522.37,29246,1731104.126,103860.2757,333817.9879,835765.8909
8,7번방의 선물,2056004,64019854,8.73,4069,5,25,125,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,375850.4667,835765.8909
8,7번방의 선물,2337681,64019854,8.73,4069,6,36,216,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,417882.9455,835765.8909
8,7번방의 선물,2594560,64019854,8.73,4069,7,49,343,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,459915.4243,835765.8909
8,7번방의 선물,2831135,64019854,8.73,4069,8,64,512,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,501947.9031,835765.8909
8,7번방의 선물,3110029,64019854,8.73,4069,9,81,729,1,7526888,5,1665753.608,2,1145680.275,3,1,2,35522.37,29246,1731104.126,42032.47881,543980.3819,835765.8909
8,7번방의 선물,3678242,64019854,8.73,4069,10,100,1000,1,7526888,5,1665753.608,2,1145680.275,3,2,2,35522.37,29246,1731104.126,103860.2757,647840.6576,835765.8909
8,7번방의 선물,4191897,64019854,8.73,4069,11,121,1331,1,7526888,5,1665753.608,2,1145680.275,3,2,2,35522.37,29246,1731104.126,103860.2757,751700.9334,835765.8909
8,7번방의 선물,4391750,64019854,8.73,4069,12,144,1728,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,793733.4122,835765.8909
8,7번방의 선물,4586000,64019854,8.73,4069,13,169,2197,1,7526888,5,1665753.608,2,1145680.275,3,0,2,35522.37,29246,1731104.126,42032.47881,835765.891,835765.8909
9,R.I.P.D. : 알.아이.피.디.,14405,8129549,6.73,283,0,0,0,0,162120.6667,1,1069502.218,2,2008837.893,4,0,1,1904.59,38,1731104.126,42032.47881,42032.47881,835765.8909
9,R.I.P.D. : 알.아이.피.디.,29369,8129549,6.73,283,1,1,1,0,162120.6667,1,1069502.218,2,2008837.893,4,1,1,1904.59,38,1731104.126,42032.47881,84064.95763,835765.8909
9,R.I.P.D. : 알.아이.피.디.,53026,8129549,6.73,283,2,4,8,0,162120.6667,1,1069502.218,2,2008837.893,4,2,1,1904.59,38,1731104.126,103860.2757,187925.2333,835765.8909
9,R.I.P.D. : 알.아이.피.디.,74201,8129549,6.73,283,3,9,27,0,162120.6667,1,1069502.218,2,2008837.893,4,2,1,1904.59,38,1731104.126,103860.2757,291785.5091,835765.8909
9,R.I.P.D. : 알.아이.피.디.,82453,8129549,6.73,283,4,16,64,0,162120.6667,1,1069502.218,2,2008837.893,4,0,1,1904.59,38,1731104.126,42032.47881,333817.9879,835765.8909
9,R.I.P.D. : 알.아이.피.디.,90071,8129549,6.73,283,5,25,125,0,162120.6667,1,1069502.218,2,2008837.893,4,0,1,1904.59,38,1731104.126,42032.47881,375850.4667,835765.8909
9,R.I.P.D. : 알.아이.피.디.,98384,8129549,6.73,283,6,36,216,0,162120.6667,1,1069502.218,2,2008837.893,4,0,1,1904.59,38,1731104.126,42032.47881,417882.9455,835765.8909
9,R.I.P.D. : 알.아이.피.디.,98705,8129549,6.73,283,7,49,343,0,162120.6667,1,1069502.218,2,2008837.893,4,0,1,1904.59,38,1731104.126,42032.47881,459915.4243,835765.8909
9,R.I.P.D. : 알.아이.피.디.,99122,8129549,6.73,283,8,64,512,0,162120.6667,1,1069502.218,2,2008837.893,4,1,1,1904.59,38,1731104.126,42032.47881,501947.9031,835765.8909
9,R.I.P.D. : 알.아이.피.디.,99882,8129549,6.73,283,9,81,729,0,162120.6667,1,1069502.218,2,2008837.893,4,2,1,1904.59,38,1731104.126,103860.2757,605808.1788,835765.8909
9,R.I.P.D. : 알.아이.피.디.,100538,8129549,6.73,283,10,100,1000,0,162120.6667,1,1069502.218,2,2008837.893,4,2,2,1904.59,38,1731104.126,103860.2757,709668.4545,835765.8909
9,R.I.P.D. : 알.아이.피.디.,100690,8129549,6.73,283,11,121,1331,0,162120.6667,1,1069502.218,2,2008837.893,4,0,2,1904.59,38,1731104.126,42032.47881,751700.9334,835765.8909
9,R.I.P.D. : 알.아이.피.디.,100952,8129549,6.73,283,12,144,1728,0,162120.6667,1,1069502.218,2,2008837.893,4,0,2,1904.59,38,1731104.126,42032.47881,793733.4122,835765.8909
9,R.I.P.D. : 알.아이.피.디.,101136,8129549,6.73,283,13,169,2197,0,162120.6667,1,1069502.218,2,2008837.893,4,0,2,1904.59,38,1731104.126,42032.47881,835765.891,835765.8909
10,가디언즈 오브 갤럭시,122871,22269556,8.02,1035,0,0,0,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,42032.47881,835765.8909
10,가디언즈 오브 갤럭시,247038,22269556,8.02,1035,1,1,1,0,1974901,3,1560090,2,2008838,4,1,1,8300.7,5180,1676603.312,42032.47881,84064.95763,835765.8909
10,가디언즈 오브 갤럭시,421459,22269556,8.02,1035,2,4,8,0,1974901,3,1560090,2,2008838,4,2,1,8300.7,5180,1676603.312,103860.2757,187925.2333,835765.8909
10,가디언즈 오브 갤럭시,583682,22269556,8.02,1035,3,9,27,0,1974901,3,1560090,2,2008838,4,2,1,8300.7,5180,1676603.312,103860.2757,291785.5091,835765.8909
10,가디언즈 오브 갤럭시,686122,22269556,8.02,1035,4,16,64,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,333817.9879,835765.8909
10,가디언즈 오브 갤럭시,775459,22269556,8.02,1035,5,25,125,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,375850.4667,835765.8909
10,가디언즈 오브 갤럭시,816946,22269556,8.02,1035,6,36,216,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,417882.9455,835765.8909
10,가디언즈 오브 갤럭시,856783,22269556,8.02,1035,7,49,343,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,459915.4243,835765.8909
10,가디언즈 오브 갤럭시,903569,22269556,8.02,1035,8,64,512,0,1974901,3,1560090,2,2008838,4,1,1,8300.7,5180,1676603.312,42032.47881,501947.9031,835765.8909
10,가디언즈 오브 갤럭시,973842,22269556,8.02,1035,9,81,729,0,1974901,3,1560090,2,2008838,4,2,1,8300.7,5180,1676603.312,103860.2757,605808.1788,835765.8909
10,가디언즈 오브 갤럭시,1035794,22269556,8.02,1035,10,100,1000,0,1974901,3,1560090,2,2008838,4,2,1,8300.7,5180,1676603.312,103860.2757,709668.4545,835765.8909
10,가디언즈 오브 갤럭시,1073739,22269556,8.02,1035,11,121,1331,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,751700.9334,835765.8909
10,가디언즈 오브 갤럭시,1111751,22269556,8.02,1035,12,144,1728,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,793733.4122,835765.8909
10,가디언즈 오브 갤럭시,1125420,22269556,8.02,1035,13,169,2197,0,1974901,3,1560090,2,2008838,4,0,1,8300.7,5180,1676603.312,42032.47881,835765.891,835765.8909
11,가디언즈 오브 갤럭시 VOL. 2,570901,22269556,8.17,8031,0,0,0,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,129807.4832,129807.4832,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,840007,22269556,8.17,8031,1,1,1,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,42032.47881,171839.962,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,1213688,22269556,8.17,8031,2,4,8,0,1974901,3,2228005,2,2008838,4,1,2,65613.27,1709,1676603.312,129807.4832,301647.4453,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,1500377,22269556,8.17,8031,3,9,27,0,1974901,3,2228005,2,2008838,4,2,2,65613.27,1709,1676603.312,103860.2757,405507.721,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,1723838,22269556,8.17,8031,4,16,64,0,1974901,3,2228005,2,2008838,4,2,2,65613.27,1709,1676603.312,103860.2757,509367.9967,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,1826039,22269556,8.17,8031,5,25,125,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,42032.47881,551400.4755,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2009286,22269556,8.17,8031,6,36,216,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,129807.4832,681207.9587,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2055994,22269556,8.17,8031,7,49,343,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,42032.47881,723240.4376,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2099905,22269556,8.17,8031,8,64,512,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,42032.47881,765272.9164,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2165342,22269556,8.17,8031,9,81,729,0,1974901,3,2228005,2,2008838,4,1,2,65613.27,1709,1676603.312,42032.47881,807305.3952,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2305421,22269556,8.17,8031,10,100,1000,0,1974901,3,2228005,2,2008838,4,2,2,65613.27,1709,1676603.312,103860.2757,911165.6709,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2425685,22269556,8.17,8031,11,121,1331,0,1974901,3,2228005,2,2008838,4,2,2,65613.27,1709,1676603.312,103860.2757,1015025.947,1099090.904
11,가디언즈 오브 갤럭시 VOL. 2,2463625,22269556,8.17,8031,12,144,1728,0,1974901,3,2228005,2,2008838,4,0,2,65613.27,1709,1676603.312,42032.47881,1057058.425,1099090.904
